session_name,category
Activator Ride,Other
Activator Run,Other
Activator Run - amphibs Christmas Hash,Other
Activator Run session,Other
Activator ride,Bike
Activator run,Other
Activator run - Brown's Folly,Other
Activator session - Ride,Other
Annual General Meeting and Awards Night,Other
STV Swim - Aquathlon,Swim
Bath Amphibians Christmas Dinner (Drinks Only) 🍻🥂,Other
Bath Amphibians Christmas Dinner 🎅🏻🎄,Other
Charity ‘Bring and Buy’ KIT SALE,Other
Club Run Session - Associates PAYG,Run
Club Run Session - Green Members,Run
Gears for Beers,Bike
Green event,Other
Indoor Bike,Bike
Indoor Bike ONLINE,Bike
Odd Down bike session,Bike
Odd down bike skills session,Bike
Odd down bike skills session - Associates PAYG,Bike
S&C,S&C
STV Swim,Swim
STV swim - technique,Swim
"Social Run 7@7 (member-led, uncoached)",Run
Test paid event - don't sign up for this,NA
Vobster open water session,Swim
‘Chilly Duathlon’ - European Qualifier Race,Other
